NAME                                 AGE
falco-ref-aws-credential-search      123m
falco-ref-clear-log                  3h15m
falco-ref-debugfs-privileged         3h15m
falco-ref-directory-traversal-read   3h15m
falco-ref-drop-execute-container     3h15m
falco-ref-exec-dev-shm               3h15m
falco-ref-hardlink-sensitive         3h15m
falco-ref-k8s-api-contact            3h15m
falco-ref-kernel-module              3h15m
falco-ref-memfd-execution            3h15m
falco-ref-netcat-rce                 3h15m
falco-ref-packet-socket              3h15m
falco-ref-private-key-search         123m
falco-ref-ptrace-antidebug           3h15m
falco-ref-ptrace-attach              3h15m
falco-ref-release-agent              3h15m
falco-ref-remove-bulk-data           3h15m
falco-ref-run-shell-untrusted        3h15m
falco-ref-sensitive-read-trusted     3h15m
falco-ref-sensitive-read-untrusted   3h15m
falco-ref-ssh-nonstandard-port       123m
falco-ref-stdio-network-redirect     3h15m
falco-ref-symlink-sensitive          3h15m
falco-ref-terminal-shell-container   3h15m
